Using device: mps
Base classes (60): [1, 2, 7, 8, 9, 10, 12, 15, 16, 18, 21, 22, 23, 26, 30, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 68, 70, 72, 73, 74, 76, 78, 80, 83, 85, 87, 91, 92, 96, 98, 99]
Incremental sessions (8 x 5-way): [[5, 6, 24, 67, 82], [19, 20, 43, 79, 90], [0, 53, 57, 93, 95], [25, 71, 77, 84, 89], [27, 29, 64, 88, 97], [4, 11, 54, 69, 75], [13, 17, 28, 31, 86], [3, 14, 35, 81, 94]]

=== Phase A: backbone pretraining on 60 base classes for 30 epochs ===
Mixup/CutMix enabled (randomly applied per batch)
[Backbone] epoch 001/30 | train_loss 3.8532 | val_loss 3.4619 | train_acc 9.18% | val_acc 15.83% * | 65.5s
[STAG-STI] epoch 028/50 | loss 1.4181 (val 1.7642) (cls 0.8577, supcon 1.8201, graph 0.0078, stab 0.1242) | train_query_acc 90.97% | val_query_acc 83.27% | 18.0s
[STAG-STI] epoch 029/50 | loss 1.4130 (val 1.7522) (cls 0.8530, supcon 1.8197, graph 0.0071, stab 0.1230) | train_query_acc 91.55% | val_query_acc 83.40% | 18.0s
[STAG-STI] epoch 030/50 | loss 1.3985 (val 1.7651) (cls 0.8308, supcon 1.8458, graph 0.0065, stab 0.1239) | train_query_acc 92.76% | val_query_acc 84.00% | 18.0s
[STAG-STI] epoch 031/50 | loss 1.3939 (val 1.7434) (cls 0.8328, supcon 1.8245, graph 0.0070, stab 0.1208) | train_query_acc 92.03% | val_query_acc 83.80% | 17.9s
[STAG-STI] epoch 032/50 | loss 1.4002 (val 1.7806) (cls 0.8375, supcon 1.8307, graph 0.0070, stab 0.1168) | train_query_acc 91.68% | val_query_acc 82.27% | 17.9s
[STAG-STI] epoch 033/50 | loss 1.3801 (val 1.7089) (cls 0.8197, supcon 1.8242, graph 0.0066, stab 0.1148) | train_query_acc 93.12% | val_query_acc 85.13% * | 17.9s
[STAG-STI] epoch 034/50 | loss 1.3790 (val 1.6828) (cls 0.8219, supcon 1.8132, graph 0.0062, stab 0.1151) | train_query_acc 92.63% | val_query_acc 85.47% * | 17.9s
[STAG-STI] epoch 035/50 | loss 1.3633 (val 1.7671) (cls 0.8074, supcon 1.8096, graph 0.0055, stab 0.1170) | train_query_acc 93.24% | val_query_acc 83.60% | 18.0s
[STAG-STI] epoch 036/50 | loss 1.3855 (val 1.7861) (cls 0.8244, supcon 1.8273, graph 0.0062, stab 0.1134) | train_query_acc 92.53% | val_query_acc 84.40% | 17.9s
[STAG-STI] epoch 037/50 | loss 1.3613 (val 1.7557) (cls 0.8077, supcon 1.8029, graph 0.0057, stab 0.1126) | train_query_acc 93.33% | val_query_acc 82.53% | 17.9s
