Using device: mps
Base classes (60): [1, 2, 7, 8, 9, 10, 12, 15, 16, 18, 21, 22, 23, 26, 30, 32, 33, 34, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55, 56, 58, 59, 60, 61, 62, 63, 65, 66, 68, 70, 72, 73, 74, 76, 78, 80, 83, 85, 87, 91, 92, 96, 98, 99]
Incremental sessions (8 x 5-way): [[5, 6, 24, 67, 82], [19, 20, 43, 79, 90], [0, 53, 57, 93, 95], [25, 71, 77, 84, 89], [27, 29, 64, 88, 97], [4, 11, 54, 69, 75], [13, 17, 28, 31, 86], [3, 14, 35, 81, 94]]

=== Phase A: backbone pretraining on 60 base classes for 30 epochs ===
[Backbone] epoch 001/30 | train_loss 3.6417 | val_loss 3.2661 | train_acc 12.33% | val_acc 21.02% * | 64.8s
[STAG-STI] epoch 027/50 | loss 1.4771 (val 2.1372) (cls 0.6401, supcon 1.6575, graph 0.0047, stab 0.0708) | train_query_acc 98.69% | val_query_acc 89.00% | 18.0s
[STAG-STI] epoch 028/50 | loss 1.4706 (val 2.1372) (cls 0.6374, supcon 1.6510, graph 0.0046, stab 0.0660) | train_query_acc 98.84% | val_query_acc 88.53% | 18.0s
[STAG-STI] epoch 029/50 | loss 1.4703 (val 2.0991) (cls 0.6368, supcon 1.6523, graph 0.0045, stab 0.0620) | train_query_acc 98.81% | val_query_acc 90.20% * | 18.0s
[STAG-STI] epoch 030/50 | loss 1.4706 (val 2.1603) (cls 0.6342, supcon 1.6590, graph 0.0042, stab 0.0582) | train_query_acc 98.84% | val_query_acc 87.00% | 18.0s
[STAG-STI] epoch 031/50 | loss 1.4678 (val 2.1648) (cls 0.6325, supcon 1.6579, graph 0.0039, stab 0.0537) | train_query_acc 98.85% | val_query_acc 88.33% | 18.0s
[STAG-STI] epoch 032/50 | loss 1.4725 (val 2.1606) (cls 0.6409, supcon 1.6511, graph 0.0040, stab 0.0503) | train_query_acc 98.37% | val_query_acc 88.73% | 17.9s
[STAG-STI] epoch 033/50 | loss 1.4639 (val 2.1410) (cls 0.6346, supcon 1.6467, graph 0.0039, stab 0.0495) | train_query_acc 98.80% | val_query_acc 88.80% | 18.0s
[STAG-STI] epoch 034/50 | loss 1.4589 (val 2.0863) (cls 0.6316, supcon 1.6432, graph 0.0035, stab 0.0482) | train_query_acc 98.85% | val_query_acc 89.13% | 17.9s
[STAG-STI] epoch 035/50 | loss 1.4503 (val 2.1534) (cls 0.6262, supcon 1.6374, graph 0.0035, stab 0.0459) | train_query_acc 99.09% | val_query_acc 89.20% | 18.0s
[STAG-STI] epoch 036/50 | loss 1.4665 (val 2.1728) (cls 0.6302, supcon 1.6622, graph 0.0037, stab 0.0431) | train_query_acc 98.79% | val_query_acc 89.60% | 17.9s
[STAG-STI] epoch 037/50 | loss 1.4536 (val 2.1342) (cls 0.6266, supcon 1.6440, graph 0.0031, stab 0.0419) | train_query_acc 98.80% | val_query_acc 89.73% | 18.0s
[STAG-STI] epoch 038/50 | loss 1.4623 (val 2.1721) (cls 0.6320, supcon 1.6509, graph 0.0031, stab 0.0404) | train_query_acc 98.68% | val_query_acc 87.67% | 18.0s
[STAG-STI] epoch 039/50 | loss 1.4498 (val 2.0741) (cls 0.6276, supcon 1.6349, graph 0.0032, stab 0.0396) | train_query_acc 98.89% | val_query_acc 90.67% * | 18.0s
[STAG-STI] epoch 040/50 | loss 1.4602 (val 2.1676) (cls 0.6305, supcon 1.6503, graph 0.0032, stab 0.0377) | train_query_acc 98.69% | val_query_acc 89.93% | 18.0s
